episode,reward,ep_block_prob,ep_accepted_requests,avg_deployment_cost,avg_total_latency,avg_access_latency,avg_proc_latency,avg_throuput_in,avg_packetsize_in,avg_interarrival_in,avg_throuput_out,avg_packetsize_out,avg_interarrival_out,avg_latency_binary,avg_jerkiness_binary,avg_sync_binary,avg_qoe,gini,execution_time
95,65.99,0.0,100,20.72,4290.92,4.58,4286.34,-0.58,1.65,1.64,-0.32,-0.6,0.34,0.37,0.61,0.34,0.47,0.3,0.13
96,62.22,0.05,95,6.38,4322.89,4.07,4318.82,-1.28,4.44,2.66,-0.78,-1.25,1.33,0.64,0.76,0.17,0.5,0.5,0.14
97,46.99,0.05,95,33.6,4360.86,7.49,4353.37,-0.62,1.68,1.64,-0.37,-0.56,0.46,0.34,0.61,0.21,0.48,0.39,0.15
98,67.06,0.01,99,6.87,4588.27,4.35,4583.92,-1.1,3.41,3.18,-0.67,-0.96,0.83,0.5,0.59,0.27,0.49,0.51,0.16
99,71.88,0.0,100,7.52,4502.5,4.0,4498.5,-1.14,3.98,3.15,-0.71,-1.22,1.09,0.71,0.83,0.22,0.5,0.48,0.12
100,56.38,0.05,95,25.35,4588.66,7.46,4581.2,-0.73,2.25,2.51,-0.44,-0.76,0.54,0.47,0.68,0.24,0.47,0.27,0.14
101,47.99,0.04,96,25.83,4528.72,6.77,4521.96,-1.11,3.68,3.83,-0.71,-1.15,0.92,0.62,0.81,0.17,0.48,0.43,0.15
102,62.47,0.02,98,7.45,4595.14,3.9,4591.24,-1.31,4.76,3.92,-0.83,-1.44,1.1,0.78,0.88,0.16,0.49,0.59,0.15
103,56.82,0.03,97,21.81,4724.4,6.44,4717.96,-0.99,3.44,2.66,-0.58,-1.06,0.8,0.69,0.75,0.27,0.48,0.45,0.8
104,55.99,0.03,97,19.98,4741.88,5.44,4736.43,-0.43,1.31,1.19,-0.21,-0.53,0.3,0.43,0.62,0.36,0.45,0.45,0.12
105,49.39,0.0,100,17.52,4804.92,6.16,4798.76,0.14,-0.78,0.07,0.16,-0.14,-0.24,0.22,0.67,0.46,0.46,0.75,0.14
106,62.46,0.01,99,9.05,4965.2,5.04,4960.16,-0.05,-0.47,-0.01,0.06,-0.04,-0.21,0.2,0.5,0.46,0.45,0.56,0.15
107,44.05,0.03,97,23.42,4863.79,6.76,4857.03,-0.24,-0.12,-0.04,-0.05,0.04,-0.13,0.11,0.28,0.44,0.46,0.68,0.15
